
2024/11/30 (06:16:38) | ===> btop++ v.1.4.0
2024/11/30 (06:16:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (11:54:40) | ===> btop++ v.1.4.0
2024/12/28 (11:54:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (12:01:22) | ===> btop++ v.1.4.0
2024/12/28 (12:01:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (12:07:19) | ===> btop++ v.1.4.0
2024/12/28 (12:07:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (12:10:32) | ===> btop++ v.1.4.0
2024/12/28 (12:10:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (12:20:05) | ===> btop++ v.1.4.0
2024/12/28 (12:20:05) | WARNING: Intel GPU: Failed to initialize PMU
